label,message
ham,"Hey, are we still meeting for lunch today?"
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,Don't forget to bring the documents to the meeting.
spam,You have been selected for a free cruise. Call now!
ham,Can you send me the project files?
spam,"Lowest prices on meds, no prescription required. Order now."
ham,Happy birthday! Wish you the best.
spam,URGENT: Your account has been compromised. Verify immediately at fakebank.com
ham,Let's catch up over coffee this weekend.
spam,Earn $5000 per week from home - join today!
ham,"Thanks for the update, much appreciated."
spam,Act now to get a free trial of our weight loss product!
ham,"Meeting moved to 3pm, please confirm availability."
spam,Lowest interest rates available. Refinance your loan now.
ham,Can you review the budget spreadsheet?
spam,This is not a scam! Click to see how to make money fast.
ham,"I'll be late by 10 minutes, stuck in traffic."
spam,Win a brand new iPhone! Reply WIN to enter.
ham,"Congrats on your promotion, well deserved."
spam,"Get cheap airline tickets, limited time offer."
ham,Please find attached the invoice for September.
spam,"You are pre-approved for a loan up to $50,000. Apply now."
ham,"Call me when you are free, need to discuss something."
spam,Exclusive deal: Buy 1 get 2 free. Shop now!
ham,Can you share the meeting notes from yesterday?
spam,Flash sale! 90% off on selected items. Limited stock.
ham,Reminder: doctor's appointment tomorrow at 10 AM.
spam,Click here to claim your free gift voucher.
ham,See you at the event on Friday.
spam,Work from home and earn big commissions. Sign up today.
ham,Let's finalize the design draft by EOD.
spam,Your package is waiting. Confirm your shipping details now.
ham,I'll review the code and push updates.
spam,Get paid surveys - instant cash rewards.
ham,Thanks for your help with the presentation.
spam,You won a lottery! Send details to claim.
ham,Please update the schedule with the new tasks.
spam,Act now to save 50% on your subscription.
ham,Did you get my last email?
spam,Free access to premium membership for new users.
